location,signal1,signal2,signal3
2940,101.8292197,78.2687208,81.57327922
2941,17.96986229,49.80736778,63.85396502
2942,65.88949508,97.835901,77.32064381
2943,29.94977049,44.47086409,23.19619314
2944,92.84428852,65.81687885,64.43386984
2945,123.842301,108.5089084,162.373352
2946,55.85632197,53.36503691,90.20741778
2947,77.86940328,113.8454121,69.58857943
2948,68.88447213,115.2240089,77.32064381
2949,125.7890361,87.56313139,108.2489013
2950,59.89954098,74.71105167,92.78477258
2951,101.8292197,97.835901,97.93948216
2952,185.688577,199.2294711,205.930648
2953,41.92967869,44.47086409,51.80483135
2954,116.8041049,188.5564637,136.5998041
2955,221.6283016,828.5811397,296.3958013
2956,23.95981639,76.08964846,74.74328902
2957,170.7136918,367.1959248,221.8458139
2958,222.9011669,4470.700438,1083.648823
2959,657.69696,7490.939173,1096.471163
2960,752.3382347,12921.49874,3277.944261
2961,248.5082207,347.8510989,253.6761456
2962,230.0142374,215.2389822,267.5294276
2963,80.86438033,119.1819158,115.9809657
2964,35.93972459,49.80736778,87.63006299
2965,224.6232787,289.9500339,279.3852596
2966,194.6735082,209.9024785,181.9612484
2967,140.7639213,123.1842935,91.56052905
2968,65.88949508,109.8430343,117.2052092
2969,50.91460983,101.3935701,131.4450945
2970,89.84931147,124.5184195,110.8262561
2971,287.5177967,323.7478906,265.4675438
2972,164.7237377,135.1914268,146.9092232
2973,380.3620852,409.1319496,351.6800616
2974,131.7789902,138.749096,107.0890917
2975,131.7789902,181.4411255,167.5280616
2976,251.5780721,220.5754859,182.9921904
2977,77.86940328,128.0760886,115.9809657
2978,92.84428852,87.16289362,115.9809657
2979,47.91963279,90.72056274,97.93948216
2980,77.86940328,67.59571342,74.74328902
2981,77.86940328,74.71105167,59.27916026
2982,80.86438033,65.81687885,85.05270819
2983,44.92465574,87.16289362,85.05270819
2984,65.88949508,113.8454121,87.63006299
2985,89.84931147,99.61473556,117.1407754
2986,77.86940328,90.72056274,89.04760812
2987,80.86438033,44.47086409,69.58857943
2988,77.86940328,101.3935701,67.01122464
2989,77.86940328,67.59571342,108.2489013
2990,68.88447213,76.48988624,95.36212737
2991,92.84428852,76.48988624,85.05270819
2992,32.94474754,91.34315484,108.2489013
2993,62.89451803,107.8863163,141.7545137
2994,80.86438033,74.66658081,64.43386984
2995,44.92465574,81.87086079,51.54709588
2996,41.92967869,72.93221711,90.20741778
2997,47.91963279,76.48988624,105.6715465
2998,71.87944918,55.14387147,79.89799861
2999,80.86438033,78.2687208,43.81503149
3000,53.90958688,60.48037516,77.32064381
3001,65.88949508,55.41069666,41.2376767
3002,56.90456393,72.66539192,105.6715465
3003,50.91460983,80.67014746,84.60167111
3004,113.8091279,141.684173,121.5867124
3005,87.22870656,96.85754199,90.20741778
3006,68.5101,57.90106505,67.01122464
3007,59.89954098,76.48988624,69.58857943
3008,50.91460983,74.71105167,57.21727642
3009,83.85935738,92.49939731,94.84665641
3010,71.87944918,109.1759713,77.64281316
3011,80.86438033,77.60165784,61.5343457
3012,59.89954098,80.04755536,59.27916026
3013,101.8292197,88.94172818,82.4753534
3014,59.89954098,90.72056274,79.89799861
3015,53.90958688,67.59571342,72.16593423
3016,23.95981639,62.25920973,61.85651505
3017,35.93972459,83.60522449,79.89799861
3018,65.88949508,76.48988624,85.05270819
3019,71.87944918,88.94172818,105.6715465
3020,95.83926557,82.27109857,74.74328902
3021,101.8292197,136.5255528,154.6412876
3022,56.90456393,103.1724047,82.4753534
3023,80.86438033,71.59809119,64.43386984
3024,71.87944918,83.16051585,72.16593423
3025,65.88949508,99.61473556,79.89799861
3026,80.86438033,69.37454798,90.20741778
3027,77.86940328,71.15338255,85.05270819
3028,122.794059,131.6337577,108.2489013
3029,101.8292197,106.996899,137.3085766
3030,137.7689443,127.8092634,141.0457411
3031,413.3068328,455.3816483,363.4070259
3032,137.7689443,110.2877429,146.9092232
3033,401.3269246,369.9975892,304.9010721
3034,220.5800597,169.83423,133.4425444
3035,135.8222092,134.3464804,110.6329545
3036,125.7890361,156.5374416,164.9507068
3037,275.5378885,306.7155496,357.930147
3038,149.7488525,95.30106175,154.963457
3039,152.1448341,127.6758508,134.0224493
3040,114.4081233,185.0877363,195.8789643
3041,233.6082098,277.809488,255.1581246
3042,158.7337836,151.2009379,159.7959972
3043,325.5540052,330.9966414,352.002231
3044,240.496657,246.8132957,173.778147
3045,104.8241967,115.9355427,126.2903849
3046,128.7840131,136.9702614,139.1771589
3047,164.7237377,208.1236439,180.4148356
3048,143.7588984,92.49939731,123.0042575
3049,149.7488525,220.7978402,209.4745109
3050,287.5177967,591.8627302,487.120056
3051,110.8141508,114.1122373,141.7545137
3052,134.7739672,87.16289362,105.6715465
3053,139.5659305,158.3162762,180.4148356
3054,138.9669351,87.16289362,110.8262561
3055,41.92967869,48.78453791,66.62462142
3056,128.7840131,118.4259111,151.8706312
3057,122.794059,110.2877429,144.9117733
3058,101.8292197,78.2687208,100.967874
3059,461.2264656,729.3221711,664.5064997
3060,263.5579803,346.8727399,368.8839049
3061,167.7187148,210.9253084,229.0624073
3062,89.84931147,144.8416043,195.8789643
3063,104.8241967,88.94172818,103.0941918
3064,107.8191738,170.7681181,167.5280616
3065,38.93470164,32.01902215,36.08296711
3066,135.0734649,126.297254,103.0941918
3067,71.57995147,72.93221711,72.16593423
3068,50.91460983,66.48394182,90.20741778
3069,167.7187148,161.2068823,227.4515605
3070,164.4991144,131.6337577,165.5306116
3071,182.9182233,120.9607503,119.9114318
3072,431.2766951,291.7288684,270.6222533
3073,47.91963279,36.42163769,85.05270819
3074,77.86940328,70.30843613,67.01122464
3075,173.7086688,117.4030812,97.93948216
3076,134.7739672,119.5376827,139.1771589
3077,208.6750259,188.2006968,175.260126
3078,414.2802003,434.0356335,296.3958013
3079,164.7237377,188.5564637,128.8677397
3080,93.66790721,56.92270604,115.9809657
3081,109.9905321,80.04755536,123.7130301
3082,71.87944918,64.03804429,72.16593423
3083,74.87442623,124.5184195,134.0224493
3084,105.572941,98.01378446,108.2489013
3085,56.15581967,60.30249171,26.09571729
3086,71.87944918,76.48988624,125.9682155
3087,59.89954098,60.48037516,54.12445067
3088,131.7789902,140.4834597,138.8549895
3089,326.4524984,259.7543172,245.1708748
3090,136.7955767,149.4221033,118.5583205
3091,273.516279,268.6040191,216.4978027
3092,335.5123039,329.2178069,233.8949475
3093,386.2771649,455.2482357,289.3080756
3094,284.5228197,245.4791698,193.3016095
3095,110.2151554,204.2102079,174.2291841
3096,188.9830518,217.3735837,160.8269391
3097,121.5960682,152.9797725,244.8487054
3098,181.1961115,302.4018758,280.9316725
3099,170.7136918,176.1046218,154.3835521
3100,170.7136918,174.7704959,239.9517313
3101,188.6835541,234.3614538,185.5695452
3102,182.6936,161.8739453,201.1625417
3103,176.7036459,154.758607,175.1312582
3104,143.0101541,149.4221033,180.4148356
3105,138.5176885,134.9690725,142.076683
3106,188.6835541,199.4518254,261.6015116
3107,167.7187148,193.8929674,122.1021834
3108,143.7588984,126.297254,134.0224493
3109,104.8241967,158.3162762,154.6412876
3110,113.8091279,117.4030812,56.70180546
